[x]	label	desc	unitlist
quantitykind:Altitude	Altitude	Altitude or height is defined based on the context in which it is used (aviation, geometry, geographical survey, sport, and more). As a general definition, altitude is a distance measurement, usually in the vertical or "up" direction, between a reference datum and a point or object. The reference datum also often varies according to the context. [Wikipedia]	http://qudt.org/vocab/unit/M http://qudt.org/vocab/unit/KiloM http://qudt.org/vocab/unit/FT http://qudt.org/vocab/unit/MI_N
quantitykind:AmountOfSubstanceConcentrationOfB	Amount of Substance of Concentration of B	"Amount of Substance of Concentration of B" is defined as the amount of a constituent divided by the volume of the mixture.	http://qudt.org/vocab/unit/MOL-PER-M3
quantitykind:AmountOfSubstanceFractionOfB	Amount of Substance of Fraction of B	"Amount of Substance of Fraction of B" is defined as tthe amount of a constituent divided by the total amount of all constituents in a mixture.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:AmountOfSubstancePerUnitVolume	Amount of Substance per Unit Volume	The amount of substance per unit volume is called the molar density. Molar density is an intensive property of a substance and depends on the temperature and pressure.	http://qudt.org/vocab/unit/MOL-PER-M3 http://qudt.org/vocab/unit/MilliMOL-PER-L
quantitykind:AngularMomentum	Angular Momentum	Angular Momentum of an object rotating about some reference point is the measure of the extent to which the object will continue to rotate about that point unless acted upon by an external torque. In particular, if a point mass rotates about an axis, then the angular momentum with respect to a point on the axis is related to the mass of the object, the velocity and the distance of the mass to the axis. While the motion associated with linear momentum has no absolute frame of reference, the rotation associated with angular momentum is sometimes spoken of as being measured relative to the fixed stars.  \textit{Angular Momentum}, \textit{Moment of Momentum}, or \textit{Rotational Momentum", is a vector quantity that represents the product of a body's rotational inertia and rotational velocity about a particular axis.	http://qudt.org/vocab/unit/N-M-SEC http://qudt.org/vocab/unit/EV-SEC http://qudt.org/vocab/unit/ERG-SEC http://qudt.org/vocab/unit/KiloGM-M2-PER-SEC http://qudt.org/vocab/unit/J-SEC http://qudt.org/vocab/unit/FT-LB_F-SEC
quantitykind:AngularVelocity	Angular Velocity	The change of angle per unit time; specifically, in celestial mechanics, the change in angle of the radius vector per unit time.	http://qudt.org/vocab/unit/DEG-PER-SEC http://qudt.org/vocab/unit/REV-PER-MIN http://qudt.org/vocab/unit/RAD-PER-SEC http://qudt.org/vocab/unit/DEG-PER-HR http://qudt.org/vocab/unit/REV-PER-HR http://qudt.org/vocab/unit/RAD-PER-MIN http://qudt.org/vocab/unit/RAD-PER-HR http://qudt.org/vocab/unit/REV-PER-SEC http://qudt.org/vocab/unit/DEG-PER-MIN
quantitykind:AngularWavenumber	Angular Wavenumber	"wavenumber" is the spatial frequency of a wave - the number of waves that exist over a specified distance. More formally, it is the reciprocal of the wavelength. It is also the magnitude of the wave vector.	http://qudt.org/vocab/unit/RAD-PER-M http://qudt.org/vocab/unit/PER-M
quantitykind:Area	Area	Area is a quantity expressing the two-dimensional size of a defined part of a surface, typically a region bounded by a closed curve.	http://qudt.org/vocab/unit/CentiM2 http://qudt.org/vocab/unit/HA http://qudt.org/vocab/unit/ARE http://qudt.org/vocab/unit/MIL_Circ http://qudt.org/vocab/unit/FT2 http://qudt.org/vocab/unit/BARN http://qudt.org/vocab/unit/PlanckArea http://qudt.org/vocab/unit/MI2 http://qudt.org/vocab/unit/YD2 http://qudt.org/vocab/unit/IN2 http://qudt.org/vocab/unit/M2 http://qudt.org/vocab/unit/AC
quantitykind:AreaThermalExpansion	Area Thermal Expansion	When the temperature of a substance changes, the energy that is stored in the intermolecular bonds between atoms changes. When the stored energy increases, so does the length of the molecular bonds. As a result, solids typically expand in response to heating and contract on cooling; this dimensional response to temperature change is expressed by its coefficient of thermal expansion.	http://qudt.org/vocab/unit/M2-PER-K
quantitykind:AreicHeatFlowRate	Aeric Heat Flow Rate	Density of heat flow rate.	http://qudt.org/vocab/unit/W-PER-M2
quantitykind:AtomScatteringFactor	Atom Scattering Factor	"Atom Scattering Factor" is measure of the scattering power of an isolated atom.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:AtomicAttenuationCoefficient	Atomic Attenuation Coefficient	"Atomic Attenuation Coefficient" is a measurement of how strongly a chemical species or substance absorbs or scatters light at a given wavelength, per the number of atoms in the substance.	http://qudt.org/vocab/unit/M2
quantitykind:AtomicMass	Atomic Mass	The "Atomic Mass" is the mass of a specific isotope, most often expressed in unified atomic mass units.	http://qudt.org/vocab/unit/KiloGM
quantitykind:AtomicNumber	Atomic Number	The "Atomic Number", also known as the proton number, is the number of protons found in the nucleus of an atom and therefore identical to the charge number of the nucleus. A nuclide is a species of atom with specified numbers of protons and neutrons. Nuclides with the same value of Z but different values of N are called isotopes of an element. The ordinal number of an element in the periodic table is equal to the atomic number. The atomic number equals the charge of the nucleus in units of the elementary charge.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:AttenuationCoefficient	Attenuation Coefficient	The attenuation coefficient is a quantity that characterizes how easily a material or medium can be penetrated by a beam of light, sound, particles, or other energy or matter. A large attenuation coefficient means that the beam is quickly "attenuated" (weakened) as it passes through the medium, and a small attenuation coefficient means that the medium is relatively transparent to the beam. The Attenuation Coefficient is also called linear attenuation coefficient, narrow beam attenuation coefficient, or absorption coefficient.	http://qudt.org/vocab/unit/PER-M
quantitykind:AuxillaryMagneticField	Auxillary Magnetic Field	Magnetic Fields surround magnetic materials and electric currents and are detected by the force they exert on other magnetic materials and moving electric charges. The electric and magnetic fields are two interrelated aspects of a single object, called the electromagnetic field. A pure electric field in one reference frame is observed as a combination of both an electric field and a magnetic field in a moving reference frame. The Auxillary Magnetic Field, H characterizes how the true Magnetic Field B influences the organization of magnetic dipoles in a given medium.	http://qudt.org/vocab/unit/AT-PER-IN http://qudt.org/vocab/unit/AT-PER-M http://qudt.org/vocab/unit/T_Ab http://qudt.org/vocab/unit/A-PER-M http://qudt.org/vocab/unit/OERSTED
quantitykind:AverageEnergyLossPerElementaryChargeProduced	Average Energy Loss per Elementary Charge Produced	"Average Energy Loss per Elementary Charge Produced" is also referred to as average energy loss per ion pair formed.	http://qudt.org/vocab/unit/J
quantitykind:AverageLogarithmicEnergyDecrement	Average Logarithmic Energy Decrement	"Average Logarithmic Energy Decrement" is a measure of the amount of energy a neutron loses upon colliding with various nuclei. It is the average value of the increase in lethargy in elastic collisions between neutrons and nuclei whose kinetic energy is negligible compared with that of the neutrons.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:BendingMomentOfForce	Bending Moment of Force	A bending moment exists in a structural element when a moment is applied to the element so that the element bends. It is the component of moment of force perpendicular to the longitudinal axis of a beam or a shaft.	http://qudt.org/vocab/unit/N-M
quantitykind:BetaDisintegrationEnergy	Beta Disintegration Energy	"Beta Disintegration Energy" is the  energy released by a beta particle radioactive decay. It is the sum of the maximum beta-particle kinetic energy and the recoil energy of the atom produced in the reference frame in which the emitting nucleus is at rest before its disintegration.	http://qudt.org/vocab/unit/J
quantitykind:BindingFraction	Binding Fraction	The "Binding Fraction" is the ratio of the binding energy of a nucleus to the atomic mass number.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Breadth	Breadth	"Breadth" is the extent or measure of how broad or wide something is.	http://qudt.org/vocab/unit/M
quantitykind:BulkModulus	Bulk Modulus	The bulk modulus of a substance measures the substance's resistance to uniform compression. It is defined as the ratio of the infinitesimal pressure increase to the resulting relative decrease of the volume.	http://qudt.org/vocab/unit/PA
quantitykind:BurgersVector	Burgers Vector	"Burgers Vector" is the vector characterizing a dislocation, i.e. the closing vector in a Burgers circuit encircling a dislocation line.	http://qudt.org/vocab/unit/M
quantitykind:CanonicalPartitionFunction	Canonical Partition Function	A "Canonical Partition Function" applies to a canonical ensemble, in which the system is allowed to exchange heat with the environment at fixed temperature, volume, and number of particles.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Capacitance	Capacitance	"Capacitance" is the ability of a body to hold an electrical charge; it is quantified as the amount of electric charge stored for a given electric potential. Capacitance is a scalar-valued quantity.	http://qudt.org/vocab/unit/NanoFARAD http://qudt.org/vocab/unit/FARAD_Stat http://qudt.org/vocab/unit/FARAD http://qudt.org/vocab/unit/FARAD_Ab http://qudt.org/vocab/unit/MicroFARAD http://qudt.org/vocab/unit/PicoFARAD
quantitykind:CartesianArea	Area	"Area" is a quantity that expresses the extent of a two-dimensional surface or shape, or planar lamina, in the plane.	http://qudt.org/vocab/unit/M2
quantitykind:CartesianCoordinates	Cartesian Coordinates	"Cartesian Coordinates" specify each point uniquely in a plane by a pair of numerical coordinates, which are the signed distances from the point to two fixed perpendicular directed lines, measured in the same unit of length. 	http://qudt.org/vocab/unit/M
quantitykind:CelsiusTemperature	Celsius temperature	"Celsius Temperature", the thermodynamic temperature T_0, is exactly 0.01 kelvin below the thermodynamic temperature of the triple point of water.	http://qudt.org/vocab/unit/DEG_C
quantitykind:ChargeNumber	Charge Number	The "Charge Number", or just valance of an ion is the coefficient that, when multiplied by the elementary charge, gives the ion's charge.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ChemicalAffinity	Chemical Affinity	In chemical physics and physical chemistry, "Chemical Affinity" is the electronic property by which dissimilar chemical species are capable of forming chemical compounds. Chemical affinity can also refer to the tendency of an atom or compound to combine by chemical reaction with atoms or compounds of unlike composition.	http://qudt.org/vocab/unit/J-PER-MOL
quantitykind:ChemicalPotential	Chemical Potential	"Chemical Potential", also known as partial molar free energy, is a form of potential energy that can be absorbed or released during a chemical reaction.	http://qudt.org/vocab/unit/J-PER-MOL
quantitykind:CoefficientOfHeatTransfer	Coefficient of heat transfer	"Coefficient of Heat Transfer", in thermodynamics and in mechanical and chemical engineering, is used in calculating the heat transfer, typically by convection or phase transition between a fluid and a solid. The heat transfer coefficient is the proportionality coefficient between the heat flux, that is heat flow per unit area, q/A, and the thermodynamic driving force for the flow of heat (that is, the temperature difference, (Delta T).  Areic heat flow rate divided by thermodynamic temperature difference. In building technology, the "Coefficient of Heat Transfer", is often called "thermal transmittance}" with the symbol "U". It has SI units in watts per squared meter kelvin.	http://qudt.org/vocab/unit/BTU_IT-PER-FT2-SEC-DEG_F http://qudt.org/vocab/unit/BTU_IT-PER-FT2-HR-DEG_F http://qudt.org/vocab/unit/W-PER-M2-K
quantitykind:CoherenceLength	Coherence Length	"Coherence Length" characterizes the distance in a superconductor over which the effect of a perturbation is appreciable.	http://qudt.org/vocab/unit/M
quantitykind:CombinedNonEvaporativeHeatTransferCoefficient	Combined Non Evaporative Heat Transfer Coefficient	"Combined Non Evaporative Heat Transfer Coefficient" is the 	http://qudt.org/vocab/unit/W-PER-M2-K
quantitykind:Compressibility	Compressibility	Compressibility is a measure of the relative volume change of a fluid or solid as a response to a pressure (or mean stress) change.	http://qudt.org/vocab/unit/PER-PA
quantitykind:ConductionSpeed	Conduction Speed	"Conduction Speed" is the speed of impulses in nerve fibers.	http://qudt.org/vocab/unit/M-PER-SEC
quantitykind:Conductivity	Conductivity	"Conductivity" is a scalar or tensor quantity the product of which by the electric field strength in a medium is equal to the electric current density. For an isotropic medium the conductivity is a scalar quantity; for an anisotropic medium it is a tensor quantity.	http://qudt.org/vocab/unit/S-PER-M
quantitykind:CouplingFactor	Coupling Factor	"Coupling Factor" is the ratio of an electromagnetic quantity, usually voltage or current, appearing at a specified location of a given circuit to the corresponding quantity at a specified location in the circuit from which energy is transferred by coupling.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Cross-Section	Cross-section	"Cross-section" is used to express the likelihood of interaction between particles. For a specified target particle and for a specified reaction or process produced by incident charged or uncharged particles of specified type and energy, it is the mean number of such reactions or processes divided by the incident-particle fluence.	http://qudt.org/vocab/unit/M2
quantitykind:CubicElectricDipoleMomentPerSquareEnergy	Cubic Electric Dipole Moment per Square Energy	"Cubic Electric Dipole Moment per Square Energy" is	http://qudt.org/vocab/unit/C3-M-PER-J2
quantitykind:Currency	Currency	In economics, currency is a generally accepted medium of exchange. These are usually the coins and banknotes of a particular government, which comprise the physical aspects of a nation's money supply. The other part of a nation's money supply consists of bank deposits (sometimes called deposit money), ownership of which can be transferred by means of cheques, debit cards, or other forms of money transfer. Deposit money and currency are money in the sense that both are acceptable as a means of payment.	http://qudt.org/vocab/unit/SlovakKoruna http://qudt.org/vocab/unit/BolivianMvdol http://qudt.org/vocab/unit/ComoroFranc http://qudt.org/vocab/unit/CyprusPound http://qudt.org/vocab/unit/XOF http://qudt.org/vocab/unit/YuanRenminbi http://qudt.org/vocab/unit/IndianRupee http://qudt.org/vocab/unit/UnidadDeValorReal http://qudt.org/vocab/unit/SamoanTala http://qudt.org/vocab/unit/THB http://qudt.org/vocab/unit/Kroon http://qudt.org/vocab/unit/ZambianKwacha http://qudt.org/vocab/unit/NamibianDollar http://qudt.org/vocab/unit/RussianRuble http://qudt.org/vocab/unit/BruneiDollar http://qudt.org/vocab/unit/NewTurkishLira http://qudt.org/vocab/unit/Naira http://qudt.org/vocab/unit/Pataca http://qudt.org/vocab/unit/Vatu http://qudt.org/vocab/unit/BelizeDollar http://qudt.org/vocab/unit/MalagasyAriary http://qudt.org/vocab/unit/Dobra http://qudt.org/vocab/unit/Leone http://qudt.org/vocab/unit/CAD http://qudt.org/vocab/unit/CroatianKuna http://qudt.org/vocab/unit/ChileanPeso http://qudt.org/vocab/unit/Denar http://qudt.org/vocab/unit/MauritiusRupee http://qudt.org/vocab/unit/EuropeanMonetaryUnit http://qudt.org/vocab/unit/Som http://qudt.org/vocab/unit/BDT http://qudt.org/vocab/unit/Flight http://qudt.org/vocab/unit/FrancCongolais http://qudt.org/vocab/unit/KuwaitiDinar http://qudt.org/vocab/unit/UAEDirham http://qudt.org/vocab/unit/MalteseLira http://qudt.org/vocab/unit/Manat http://qudt.org/vocab/unit/AMD http://qudt.org/vocab/unit/MDOLLAR-PER-FLIGHT http://qudt.org/vocab/unit/DjiboutiFranc http://qudt.org/vocab/unit/Palladium-OunceTroy http://qudt.org/vocab/unit/Kwanza http://qudt.org/vocab/unit/XAF http://qudt.org/vocab/unit/KenyanShilling http://qudt.org/vocab/unit/LaoKip http://qudt.org/vocab/unit/Pula http://qudt.org/vocab/unit/USDollar http://qudt.org/vocab/unit/Paanga http://qudt.org/vocab/unit/SaintHelenaPound http://qudt.org/vocab/unit/OmaniRial http://qudt.org/vocab/unit/BurundianFranc http://qudt.org/vocab/unit/CostaRicanColon http://qudt.org/vocab/unit/UnidadesDeFormento http://qudt.org/vocab/unit/BrazilianReal http://qudt.org/vocab/unit/Tenge http://qudt.org/vocab/unit/Quetzal http://qudt.org/vocab/unit/BermudaDollar http://qudt.org/vocab/unit/VietnameseDong http://qudt.org/vocab/unit/Kyat http://qudt.org/vocab/unit/Somoni http://qudt.org/vocab/unit/FijiDollar http://qudt.org/vocab/unit/AZN http://qudt.org/vocab/unit/MoldovanLeu http://qudt.org/vocab/unit/HeartBeat http://qudt.org/vocab/unit/MoroccanDirham http://qudt.org/vocab/unit/UICFranc http://qudt.org/vocab/unit/MexicanUnidadDeInversion http://qudt.org/vocab/unit/Guarani http://qudt.org/vocab/unit/Metical http://qudt.org/vocab/unit/SwedishKrona http://qudt.org/vocab/unit/GoldFranc http://qudt.org/vocab/unit/Riel http://qudt.org/vocab/unit/FalklandIslandsPound http://qudt.org/vocab/unit/CordobaOro http://qudt.org/vocab/unit/SurinamDollar http://qudt.org/vocab/unit/LebanesePound http://qudt.org/vocab/unit/DominicanPeso http://qudt.org/vocab/unit/VenezuelanBolvar http://qudt.org/vocab/unit/SolomonIslandsDollar http://qudt.org/vocab/unit/SouthAfricanRand http://qudt.org/vocab/unit/PakistanRupee http://qudt.org/vocab/unit/SomaliShilling http://qudt.org/vocab/unit/AUD http://qudt.org/vocab/unit/Nakfa http://qudt.org/vocab/unit/NewZealandDollar http://qudt.org/vocab/unit/EuropeanCompositeUnit http://qudt.org/vocab/unit/Kina http://qudt.org/vocab/unit/EastCaribbeanDollar http://qudt.org/vocab/unit/DanishKrone http://qudt.org/vocab/unit/HongKongDollar http://qudt.org/vocab/unit/EthiopianBirr http://qudt.org/vocab/unit/Boliviano http://qudt.org/vocab/unit/Lari http://qudt.org/vocab/unit/DZD http://qudt.org/vocab/unit/PhilippinePeso http://qudt.org/vocab/unit/JapaneseYen http://qudt.org/vocab/unit/ZimbabweDollar http://qudt.org/vocab/unit/LatvianLats http://qudt.org/vocab/unit/NorwegianKrone http://qudt.org/vocab/unit/EuropeanUnitOfAccount17 http://qudt.org/vocab/unit/Ouguiya http://qudt.org/vocab/unit/JamaicanDollar http://qudt.org/vocab/unit/SouthKoreanWon http://qudt.org/vocab/unit/NuevoSol http://qudt.org/vocab/unit/GibraltarPound http://qudt.org/vocab/unit/Cedi http://qudt.org/vocab/unit/BYR http://qudt.org/vocab/unit/BBD http://qudt.org/vocab/unit/PoundSterling http://qudt.org/vocab/unit/ARS http://qudt.org/vocab/unit/IranianRial http://qudt.org/vocab/unit/CzechKoruna http://qudt.org/vocab/unit/SeychellesRupee http://qudt.org/vocab/unit/BSD http://qudt.org/vocab/unit/XPF http://qudt.org/vocab/unit/TunisianDinar http://qudt.org/vocab/unit/SriLankaRupee http://qudt.org/vocab/unit/USDollar-NextDay http://qudt.org/vocab/unit/HaitiGourde http://qudt.org/vocab/unit/Dalasi http://qudt.org/vocab/unit/YemeniRial http://qudt.org/vocab/unit/LibyanDinar http://qudt.org/vocab/unit/Hryvnia http://qudt.org/vocab/unit/Platinum-OunceTroy http://qudt.org/vocab/unit/AWG http://qudt.org/vocab/unit/QatariRial http://qudt.org/vocab/unit/IraqiDinar http://qudt.org/vocab/unit/JordanianDinar http://qudt.org/vocab/unit/GuineaFranc http://qudt.org/vocab/unit/TrinidadAndTobagoDollar http://qudt.org/vocab/unit/WIREuro http://qudt.org/vocab/unit/UruguayPeso http://qudt.org/vocab/unit/KiloGM-SEC2 http://qudt.org/vocab/unit/Rupiah http://qudt.org/vocab/unit/RomanianNeLeu http://qudt.org/vocab/unit/MillionUSD http://qudt.org/vocab/unit/WIRFranc http://qudt.org/vocab/unit/EgyptianPound http://qudt.org/vocab/unit/Zloty http://qudt.org/vocab/unit/BHD http://qudt.org/vocab/unit/AFN http://qudt.org/vocab/unit/CubanPeso http://qudt.org/vocab/unit/Rufiyaa http://qudt.org/vocab/unit/Lek http://qudt.org/vocab/unit/SyrianPound http://qudt.org/vocab/unit/MexicanPeso http://qudt.org/vocab/unit/NewTaiwanDollar http://qudt.org/vocab/unit/SaudiRiyal http://qudt.org/vocab/unit/GuyanaDollar http://qudt.org/vocab/unit/TanzanianShilling http://qudt.org/vocab/unit/UgandaShilling http://qudt.org/vocab/unit/SwissFranc http://qudt.org/vocab/unit/Euro http://qudt.org/vocab/unit/EuropeanUnitOfAccount9 http://qudt.org/vocab/unit/BulgarianLev http://qudt.org/vocab/unit/NewIsraeliShekel http://qudt.org/vocab/unit/Silver-OunceTroy http://qudt.org/vocab/unit/PAB http://qudt.org/vocab/unit/SerbianDinar http://qudt.org/vocab/unit/USDollar-SameDay http://qudt.org/vocab/unit/SudanesePound http://qudt.org/vocab/unit/Forint http://qudt.org/vocab/unit/SingaporeDollar http://qudt.org/vocab/unit/NetherlandsAntillianGuilder http://qudt.org/vocab/unit/MillionUSD-PER-YR http://qudt.org/vocab/unit/IcelandKrona http://qudt.org/vocab/unit/Loti http://qudt.org/vocab/unit/MalawiKwacha http://qudt.org/vocab/unit/MalaysianRinggit http://qudt.org/vocab/unit/Ngultrum http://qudt.org/vocab/unit/PER-H http://qudt.org/vocab/unit/RwandaFranc http://qudt.org/vocab/unit/Lempira http://qudt.org/vocab/unit/ColombianPeso http://qudt.org/vocab/unit/LiberianDollar http://qudt.org/vocab/unit/NepaleseRupee http://qudt.org/vocab/unit/CapeVerdeEscudo http://qudt.org/vocab/unit/SpecialDrawingRights http://qudt.org/vocab/unit/NorthKoreanWon http://qudt.org/vocab/unit/Tugrik http://qudt.org/vocab/unit/LithuanianLitas http://qudt.org/vocab/unit/Lilangeni http://qudt.org/vocab/unit/UzbekistanSom http://qudt.org/vocab/unit/Gold-OunceTroy http://qudt.org/vocab/unit/CaymanIslandsDollar http://qudt.org/vocab/unit/ConvertibleMark
quantitykind:CurrentLinkage	Current Linkage	"Current Linkage" is the net electric current through a surface delimited by a closed loop.	http://qudt.org/vocab/unit/A
quantitykind:Curvature	Curvature	The canonical example of extrinsic curvature is that of a circle, which has curvature equal to the inverse of its radius everywhere. Smaller circles bend more sharply, and hence have higher curvature. The curvature of a smooth curve is defined as the curvature of its osculating circle at each point. The osculating circle of a sufficiently smooth plane curve at a given point on the curve is the circle whose center lies on the inner normal line and whose curvature is the same as that of the given curve at that point. This circle is tangent to the curve at the given point.  That is, given a point P on a smooth curve C, the curvature of C at P is defined to be 1/R where R is the radius of the osculating circle of C at P. The magnitude of curvature at points on physical curves can be measured in diopters (also spelled dioptre) — this is the convention in optics. [Wikipedia],	http://qudt.org/vocab/unit/DIOPTER
quantitykind:CurvatureFromRadius	Curvature	In mathematics "Curvature" is the amount by which a geometric object deviates from being flat, or straight in the case of a line, but this is defined in different ways depending on the context.	http://qudt.org/vocab/unit/PER-M
quantitykind:DataRate	Data Rate	The frequency derived from the period of time required to transmit one bit. This represents the amount of data transferred per second by a communications channel or a computing or storage device. Data rate is measured in units of bits per second (written "b/s" or "bps"), bytes per second (Bps), or baud. When applied to data rate, the multiplier prefixes "kilo-", "mega-", "giga-", etc. (and their abbreviations, "k", "M", "G", etc.) always denote powers of 1000. For example, 64 kbps is 64,000 bits per second. This contrasts with units of storage which use different prefixes to denote multiplication by powers of 1024, for example 1 kibibit = 1024 bits.	http://qudt.org/vocab/unit/MegaBIT-PER-SEC http://qudt.org/vocab/unit/KiloBIT-PER-SEC
quantitykind:Debye-WallerFactor	Debye-Waller Factor	"Debye-Waller Factor" (DWF), named after Peter Debye and Ivar Waller, is used in condensed matter physics to describe the attenuation of x-ray scattering or coherent neutron scattering caused by thermal motion. Also, a factor by which the intensity of a diffraction line is reduced because of the lattice vibrations.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:DebyeAngularWavenumber	Debye Angular Wavenumber	"Debye Angular Wavenumber" is the cut-off angular wavenumber in the Debye model of the vibrational spectrum of a solid.	http://qudt.org/vocab/unit/RAD-PER-M
quantitykind:DecayConstant	Decay Constant	The "Decay Constant" is the proportionality between the size of a population of radioactive atoms and the rate at which the population decreases because of radioactive decay.	http://qudt.org/vocab/unit/PER-SEC
quantitykind:DegreeOfDissociation	Degree of Dissociation	The "Degree of Dissociation" is the fraction of original solute molecules that have dissociated.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:DensityOfStates	Density of states	"Density of States" is the number of vibrational modes in an infinitesimal interval of angular frequency divided by the range of that interval and by volume.	http://qudt.org/vocab/unit/SEC-PER-RAD-M3
quantitykind:Depth	Depth	Depth typically refers to the vertical measure of length from the surface of a liquid.	http://qudt.org/vocab/unit/M
quantitykind:Diameter	Diameter	In classical geometry, the "Diameter" of a circle is any straight line segment that passes through the center of the circle and whose endpoints lie on the circle. 	http://qudt.org/vocab/unit/M
quantitykind:DiastolicBloodPressure	Diastolic Blood Pressure	The pressure of blood in the arteries which rises to a maximum as blood is pumped out by the left ventricle (systole) and drops to a minimum in diastole. The systolic/diastolic pressure is normally ~120/80 mmHg in a young adult.	http://qudt.org/vocab/unit/MilliM_HG
quantitykind:DiffusionArea	Diffusion Area	"Diffusion Area" in an infinite homogenous medium, is one-sixth of the mean square distance between the point where a neutron enters a specified class and the point where it leaves that class.	http://qudt.org/vocab/unit/M2
quantitykind:DiffusionCoefficient	Diffusion Coefficient	The "Diffusion Coefficient" is a proportionality constant between the molar flux due to molecular diffusion and the gradient in the concentration of the species (or the driving force for diffusion). Diffusivity is encountered in Fick's law and numerous other equations of physical chemistry.	http://qudt.org/vocab/unit/M2-PER-SEC
quantitykind:DiffusionCoefficientForFluenceRate	Diffusion Coefficient for Fluence Rate	The "Diffusion Coefficient for Fluence Rate" is a proportionality constant between the .	http://qudt.org/vocab/unit/M
quantitykind:DiffusionLength	Diffusion Length	"Diffusion Length" is the average distance traveled by a particle, or a thermal neutron in a nuclear reactor, from the point at which it is formed to the point at which it is absorbed.	http://qudt.org/vocab/unit/M
quantitykind:Displacement	Displacement	"Displacement" is the shortest distance from the initial to the final position of a point P.	http://qudt.org/vocab/unit/M
quantitykind:DisplacementCurrent	Displacement Current	"Displacement Current" is a quantity appearing in Maxwell's equations that is defined in terms of the rate of change of electric displacement field. Displacement current has the units of electric current density, and it has an associated magnetic field just as actual currents do. However it is not an electric current of moving charges, but a time-varying electric field. In materials, there is also a contribution from the slight motion of charges bound in atoms, dielectric polarization.	http://qudt.org/vocab/unit/A
quantitykind:DisplacementVectorOfIon	Displacement Vector of Ion	"Displacement Vector of Ion" is the .	http://qudt.org/vocab/unit/M
quantitykind:Dissipance	Dissipance	Dissipance, or dissipation factor for sound power, is the ratio of dissipated sound power to incident sound power. The dissipation factor (DF) is a measure of loss-rate of energy of a mode of oscillation (mechanical, electrical, or electromechanical) in a dissipative system. It is the reciprocal of quality factor, which represents the quality of oscillation.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Distance	Distance	"Distance" is a numerical description of how far apart objects are. 	http://qudt.org/vocab/unit/M
quantitykind:DonorDensity	Donor Density	"Donor Density" is the number per volume of donor levels.	http://qudt.org/vocab/unit/PER-M3
