URI	label	Description	mixsid	valueType	units	
mixs:aminopept_act	aminopeptidase activity	Measurement of aminopeptidase activity	MIXS:0000172	measurement value	mole per liter per hour	
mixs:aminopept_act	aminopeptidase activity	Measurement of aminopeptidase activity	MIXS:0000679	measurement value	mole per liter per hour	
mixs:aminopept_act	aminopeptidase activity	Measurement of aminopeptidase activity	MIXS:0000587	measurement value	mole per liter per hour	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000488	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000488	measurement value	micromole per liter	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000680	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000680	measurement value	micromole per liter	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000523	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000523	measurement value	micromole per liter	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000427	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000427	measurement value	micromole per liter	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000473	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000473	measurement value	micromole per liter	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000595	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	concentration of ammonium	MIXS:0000595	measurement value	micromole per liter	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000488	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000488	measurement value	micromole per liter	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000680	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000680	measurement value	micromole per liter	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000523	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000523	measurement value	micromole per liter	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000427	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000427	measurement value	micromole per liter	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000473	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000473	measurement value	micromole per liter	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000595	measurement value	"micromole per liter, milligram per liter, parts per million"	
mixs:ammonium	ammonium	Concentration of ammonium in the sample	MIXS:0000595	measurement value	micromole per liter	
mixs:amniotic_fluid_color	amniotic fluid/color	Specification of the color of the amniotic fluid sample	MIXS:0000276	color	NaN	
mixs:amount_light	amount of light	"The unit of illuminance and luminous emittance, measuring luminous flux per unit area"	MIXS:0000140	measurement value	"lux, lumens per square meter"	
mixs:ances_data	ancestral data	"Information about either pedigree or other ancestral information description (e.g. parental variety in case of mutant or selection), e.g. A/3*B (meaning [(A x B) x B] x B)"	MIXS:0001036	free text	NaN	
mixs:ances_data	ancestral data	"Information about either pedigree or other ancestral information description (e.g. parental variety in case of mutant or selection), e.g. A/3*B (meaning [(A x B) x B] x B)"	MIXS:0000247	free text	NaN	
mixs:annot	annotation	"Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter"	MIXS:0000059	"name of tool or pipeline used, or annotation source description"	NaN	
mixs:annual_precpt	mean annual precipitation	"The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. "	MIXS:0000644	measurement value	millimeter	
mixs:annual_temp	mean annual temperature	Mean annual temperature	MIXS:0000642	measurement value	degree Celsius	
mixs:antibiotic_regm	antibiotic regimen	"information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment duration, interval and total experimental duration; can include multiple antibiotic regimens"	MIXS:0000553	antibiotic name;antibiotic amount;treatment interval and duration	milligram	
mixs:antibiotic_regm	antibiotic regimen	"information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment duration, interval and total experimental duration; can include multiple antibiotic regimens"	MIXS:0000553	antibiotic name;antibiotic amount;treatment duration;interval;experimental duration	milligram	
mixs:antibiotic_regm	antibiotic regimen	"Information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple antibiotic regimens"	MIXS:0000553	antibiotic name;antibiotic amount;treatment interval and duration	milligram	
mixs:antibiotic_regm	antibiotic regimen	"Information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple antibiotic regimens"	MIXS:0000553	antibiotic name;antibiotic amount;treatment duration;interval;experimental duration	milligram	
mixs:api	API gravity	API gravity is a measure of how heavy or light a petroleum liquid is compared to water (source: https://en.wikipedia.org/wiki/API_gravity) (e.g. 31.1? API) 	MIXS:0000157	measurement value	degrees API	
mixs:api	API gravity	API gravity is a measure of how heavy or light a petroleum liquid is compared to water (source: https://en.wikipedia.org/wiki/API_gravity) (e.g. 31.1? API) 	MIXS:0000444	measurement value	degrees API	
mixs:arch_struc	architectural structure	"An architectural structure is a human-made, free-standing, immobile outdoor construction "	MIXS:0000774	enumeration	NaN	
mixs:aromatics_pc	aromatics wt%	"Saturate, Aromatic, Resin and Asphaltene?(SARA) is an analysis method that divides?crude oil?components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	MIXS:0000484	name;measurement value	percent	
mixs:aromatics_pc	aromatics wt%	"Saturate, Aromatic, Resin and Asphaltene?(SARA) is an analysis method that divides?crude oil?components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	MIXS:0000133	name;measurement value	percent	
mixs:asphaltenes_pc	asphaltenes wt% 	"Saturate, Aromatic, Resin and Asphaltene?(SARA) is an analysis method that divides?crude oil?components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	MIXS:0000135	name;measurement value	percent	
mixs:asphaltenes_pc	asphaltenes wt% 	"Saturate, Aromatic, Resin and Asphaltene?(SARA) is an analysis method that divides?crude oil?components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)"	MIXS:0000171	name;measurement value	percent	
mixs:assembly_name	assembly name	Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community	MIXS:0000057	name and version of assembly	NaN	
mixs:assembly_name	assembly name	Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community	MIXS:0000057	name and version of assemby	NaN	
mixs:assembly_qual	assembly quality	"The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling ? 90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated"	MIXS:0000056	enumeration	NaN	
mixs:assembly_software	assembly software	"Tool(s) used for assembly, including version number and parameters"	MIXS:0000058	"name and version of software, parameters used"	NaN	
mixs:atmospheric_data	atmospheric data	measurement of atmospheric data; can include multiple data	MIXS:0001097	atmospheric data name;measurement value	NaN	
mixs:avg_dew_point	average dew point	The average of dew point measures taken at the beginning of every hour over a 24 hour period on the sampling day	MIXS:0000141	measurement value	degree Celsius	
mixs:avg_occup	average daily occupancy	Daily average  occupancy of room	MIXS:0000775	value	NaN	
mixs:avg_temp	average temperature	The average of temperatures taken at the beginning of every hour over a 24 hour period on the sampling day	MIXS:0000142	measurement value	degree Celsius	
mixs:bac_prod	bacterial production	bacterial production in the water column measured by isotope uptake	MIXS:0000683	measurement value	milligram per cubic meter per day	
mixs:bac_resp	bacterial respiration	measurement of bacterial resporation in the water column	MIXS:0000684	measurement value	"milligram per cubic meter per day, micromole oxygen per liter per hour"	
mixs:bac_resp	bacterial respiration	measurement of bacterial resporation in the water column	MIXS:0000684	measurement value	milligram per cubic meter per day	
mixs:bac_resp	bacterial respiration	Measurement of bacterial respiration in the water column	MIXS:0000684	measurement value	"milligram per cubic meter per day, micromole oxygen per liter per hour"	
mixs:bac_resp	bacterial respiration	Measurement of bacterial respiration in the water column	MIXS:0000684	measurement value	milligram per cubic meter per day	
mixs:bacteria_carb_prod	bacterial carbon production	Measurement of bacterial carbon production	MIXS:0000682	measurement value	"nanogram per hour, microgram per liter per hour"	
mixs:bacteria_carb_prod	bacterial carbon production	Measurement of bacterial carbon production	MIXS:0000682	measurement value	nanogram per hour	
mixs:bacteria_carb_prod	bacterial carbon production	Measurement of bacterial carbon production	MIXS:0000173	measurement value	"nanogram per hour, microgram per liter per hour"	
mixs:bacteria_carb_prod	bacterial carbon production	Measurement of bacterial carbon production	MIXS:0000173	measurement value	nanogram per hour	
mixs:bacteria_carb_prod	bacterial carbon production	Measurement of bacterial carbon production	MIXS:0000589	measurement value	"nanogram per hour, microgram per liter per hour"	
mixs:bacteria_carb_prod	bacterial carbon production	Measurement of bacterial carbon production	MIXS:0000589	measurement value	nanogram per hour	
mixs:barometric_press	barometric pressure	force per unit area exerted against a surface by the weight of air above that surface	MIXS:0000096	measurement value	millibar	
mixs:basin	basin name	Name of the basin (e.g. Campos)	MIXS:0000301	name	NaN	
mixs:basin	basin name	Name of the basin (e.g. Campos)	MIXS:0000290	name	NaN	
mixs:bathroom_count	bathroom count	The number of bathrooms in the building	MIXS:0000776	value	NaN	
mixs:bedroom_count	bedroom count 	The number of bedrooms in the building	MIXS:0000777	value	NaN	
mixs:benzene	benzene	Concentration of benzene in the sample	MIXS:0000153	measurement value	"milligram per liter, parts per million"	
mixs:benzene	benzene	Concentration of benzene in the sample	MIXS:0000440	measurement value	"milligram per liter, parts per million"	
mixs:bin_param	binning parameters	The parameters that have been applied during the extraction of genomes from metagenomic datasets	MIXS:0000077	enumeration	NaN	
mixs:bin_software	binning software	Tool(s) used for the extraction of genomes from metagenomic datasets	MIXS:0000078	enumeration	NaN	
mixs:biochem_oxygen_dem	biochemical oxygen demand	Amount of dissolved oxygen needed by aerobic biological organisms in a body of water to break down organic material present in a given water sample at certain temperature over a specific time period	MIXS:0000653	measurement value	milligram per liter	
mixs:biochem_oxygen_dem	biochemical oxygen demand	a measure of the relative oxygen-depletion effect of a waste contaminant	MIXS:0000653	measurement value	milligram per liter	
mixs:biocide	biocide administration	List of biocides (commercial name of product and supplier) and date of administration	MIXS:0001011	name;name;timestamp	NaN	
mixs:biocide_admin_method	biocide administration method	"Method of biocide administration (dose, frequency, duration, time elapsed between last biociding and sampling) (e.g. 150 mg/l; weekly; 4 hr; 3 days)"	MIXS:0000456	measurement value;frequency;duration;duration	milligram per liter	
mixs:biol_stat	biological status	The level of genome modification	MIXS:0000858	enumeration	NaN	
mixs:biol_stat	biological status	The level of genome modification	MIXS:0001037	enumeration	NaN	
mixs:biomass	biomass	"amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements"	MIXS:0000597	biomass type;measurement value	"ton, kilogram, gram"	
mixs:biomass	biomass	"amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements"	MIXS:0000186	biomass type;measurement value	"ton, kilogram, gram"	
mixs:biomass	biomass	"amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements"	MIXS:0000174	biomass type;measurement value	"ton, kilogram, gram"	
mixs:biomass	biomass	"amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements"	MIXS:0000685	biomass type;measurement value	"ton, kilogram, gram"	
mixs:biotic_regm	biotic regimen	"Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi."	MIXS:0001038	free text	NaN	
mixs:biotic_relationship	observed biotic relationship	"Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object"	MIXS:0000028	enumeration	NaN	
mixs:biotic_relationship	observed biotic relationship	Is it free-living or in a host and if the latter what type of relationship is observed	MIXS:0000028	enumeration	NaN	
mixs:birth_control	birth control	specification of birth control medication used	MIXS:0000286	medication name	NaN	
mixs:bishomohopanol	bishomohopanol	concentration of bishomohopanol 	MIXS:0000686	measurement value	"microgram per liter, microgram per gram"	
mixs:bishomohopanol	bishomohopanol	concentration of bishomohopanol 	MIXS:0000598	measurement value	"microgram per liter, microgram per gram"	
mixs:bishomohopanol	bishomohopanol	concentration of bishomohopanol 	MIXS:0000175	measurement value	"microgram per liter, microgram per gram"	
mixs:blood_blood_disord	blood/blood disorder	History of blood disorders; can include multiple disorders	MIXS:0000271	disorder name	NaN	
mixs:bromide	bromide	concentration of bromide 	MIXS:0000687	measurement value	parts per million	
mixs:bromide	bromide	concentration of bromide 	MIXS:0000176	measurement value	parts per million	
mixs:bromide	bromide	concentration of bromide 	MIXS:0000187	measurement value	parts per million	
mixs:bromide	bromide	concentration of bromide 	MIXS:0000603	measurement value	parts per million	
mixs:build_docs	"design, construction, and operation documents"	"The building design, construction and operation documents"	MIXS:0000787	enumeration	NaN	
mixs:build_occup_type	building occupancy type 	the primary function for which a building or discrete part of a building is intended to be used	MIXS:0000761	enumeration	NaN	
mixs:building_setting	building setting	a location (geography) where a building is set	MIXS:0000768	enumeration	NaN	
mixs:built_struc_age	built structure age	The age of the built structure since construction	MIXS:0000145	value	year	
mixs:built_struc_set	built structure setting	The characterization of the location of the built structure as high or low human density	MIXS:0000778	enumeration	NaN	
mixs:built_struc_type	built structure type	A physical structure that is a body or assemblage of bodies in space to form a system capable of supporting loads	MIXS:0000721	free text	NaN	
mixs:calcium	calcium	concentration of calcium	MIXS:0000688	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	concentration of calcium	MIXS:0000596	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	concentration of calcium	MIXS:0000478	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	concentration of calcium	MIXS:0000489	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	concentration of calcium	MIXS:0000524	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	concentration of calcium	MIXS:0000432	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	Concentration of calcium in the sample	MIXS:0000688	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	Concentration of calcium in the sample	MIXS:0000596	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	Concentration of calcium in the sample	MIXS:0000478	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	Concentration of calcium in the sample	MIXS:0000489	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	Concentration of calcium in the sample	MIXS:0000524	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:calcium	calcium	Concentration of calcium in the sample	MIXS:0000432	measurement value	"milligram per liter, micromole per liter, parts per million"	
mixs:carb_dioxide	carbon dioxide	carbon dioxide (gas) amount or concentration at the time of sampling	MIXS:0000130	measurement value	"micromole per liter, parts per million"	
mixs:carb_dioxide	carbon dioxide	carbon dioxide (gas) amount or concentration at the time of sampling	MIXS:0000130	measurement value	micromole per liter	
mixs:carb_dioxide	carbon dioxide	carbon dioxide (gas) amount or concentration at the time of sampling	MIXS:0000097	measurement value	"micromole per liter, parts per million"	
mixs:carb_dioxide	carbon dioxide	carbon dioxide (gas) amount or concentration at the time of sampling	MIXS:0000097	measurement value	micromole per liter	
mixs:carb_monoxide	carbon monoxide	Carbon monoxide (gas) amount or concentration at the time of sampling	MIXS:0000098	measurement value	micromole per liter	
mixs:carb_monoxide	carbon monoxide	Carbon monoxide (gas) amount or concentration at the time of sampling	MIXS:0000098	measurement value	"micromole per liter, parts per million"	
mixs:carb_nitro_ratio	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen	MIXS:0000310	measurement value	NaN	
mixs:carb_nitro_ratio	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen	MIXS:0001098	measurement value	NaN	
mixs:carb_nitro_ratio	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen	MIXS:0000311	measurement value	NaN	
mixs:ceil_area	ceiling area	The area of the ceiling space within the room	MIXS:0000148	measurement value	square meter	
mixs:ceil_cond	ceiling condition	The physical condition of the ceiling at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas	MIXS:0000779	enumeration	NaN	
mixs:ceil_finish_mat	ceiling finish material	The type of material used to finish a ceiling	MIXS:0000780	enumeration	NaN	
mixs:ceil_struc	ceiling structure	The construction format of the ceiling	MIXS:0000782	enumeration	NaN	
mixs:ceil_texture	ceiling texture	"The feel, appearance, or consistency of a ceiling surface"	MIXS:0000783	enumeration	NaN	
mixs:ceil_thermal_mass	ceiling thermal mass	The ability of the ceiling to provide inertia against temperature fluctuations. Generally this means concrete that is exposed. A metal deck that supports a concrete slab will act thermally as long as it is exposed to room air flow	MIXS:0000143	measurement value	joule per degree Celsius	
mixs:ceil_type	ceiling type	The type of ceiling according to the ceiling's appearance or construction	MIXS:0000784	enumeration	NaN	
mixs:ceil_water_mold	ceiling signs of water/mold	Signs of the presence of mold or mildew on the ceiling	MIXS:0000781	enumeration	NaN	
mixs:chem_administration	chemical administration	"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI"	MIXS:0000885	CHEBI;timestamp	NaN	
mixs:chem_administration	chemical administration	"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI"	MIXS:0000974	CHEBI;timestamp	NaN	
