ID,plot_id,Date,X,Y,Elevation,Veg_completeness,Mean_shrub_height,Mean_LAI,cover_Shrub_tall,cover_Shrub_low,cover_Shrub_dwarf,cover_Whole_Tussocks,cover_Graminoids,cover_Forbs,cover_Feathermoss,cover_Sphagnum,cover_Total_moss,cover_Cladonia_Cladina,cover_Total_lichen,cover_Litter,cover_Rock_fragments,cover_Bare_soil,cover_Water,slope,aspect,Geomorphic_Unit,Macrotopography_class,Microtopography_class,Surface_organic_depth,Dominant_mineral_texture,Water_depth,Thaw_depth,pH,Electrical_conductivity
11,76215_3,8/27/16,7619477,413849,758,full,42.3,1.285,0,45,25,0,5,10,1,40,55,0,0,40,0,0,0,0,-999,headwater active overbank deposit,streambanks,high-centered polygons,0,loamy,<-40,64,5.9,60
16,76287_1,8/22/16,7629109,422839,522,full,446.5,3.59,70,38,0,0,15,25,3,0,35,0,0.1,60,0,0.1,0,2,320,meander active overbank deposit,floodplain step,mounds (logs and rootwads),0,sandy,<-40,>125,7.6,70
17,76287_2,8/27/16,7629789,423519,497,full,442,3.175,60,5,0,0,22,25,10,0,45,0,0,50,0,0.1,0,0,-999,meander active overbank deposit,floodplain step,mounds (logs and rootwads),1,loamy,<-40,>125,6.8,70
19,76287_3,8/26/16,7630520,424034,483,full,278.5,2.365,40,50,15,0,5,8,25,0,50,0,0.1,40,12,0,0,0,-999,meander active overbank deposit,floodplain step,mounds (logs and rootwads),0,loamy,<-40,>125,7.4,70
18,76305_1,8/22/16,7630506,424017,486,dominants,256.1,3.15,40,55,3,0,5,10,5,0,20,0,0.1,75,0.1,0.1,0,1,40,meander active overbank deposit,floodplain step,mounds (logs and rootwads),0,loamy,<-40,>125,7.3,70
20,76327_1,8/22/16,7632698,424248,467,dominants,204.5,1.575,35,30,0,0,0.1,2,0,0,35,0,0.1,20,10,40,0,0,-999,meander inactive channel deposit,floodplain step,mounds (logs and rootwads),0,sandy,<-40,>125,7.1,50
7,76749_1,8/25/16,7674411,424952,329,full,100.3,2.045,10,55,0.1,0,15,5,0,5,20,0,0,25,0,50,0.1,4,180,headwater active overbank deposit,streambanks,mounds (undifferentiated),0,loamy,-15,42,6.1,50
6,76749_3,8/25/16,7674642,425241,322,full,69.2,1.71,0.1,60,10,0,7,7,40,30,95,0,3,5,0,0,0,5,320,upland frozen silt,streambanks,mounds (ice and peat related),19,loamy,-15,40,6.3,80
5,76749_5,8/25/16,7674860,425528,325,full,110.3,1.73,5,65,5,0,8,8,20,20,65,0.1,3,35,0,0,2,30,290,upland frozen silt,streambanks,mounds (ice and peat related),14,loamy,<-40,47,5.4,50
21,76777_1,8/23/16,7677738,427932,286,full,311.6,2.49,60,30,0.1,0,5,35,0.1,0,45,0,0.1,45,10,0.1,0.1,3,330,meander active overbank deposit,riverbanks,mounds (logs and rootwads),0,gravelly,-73,>125,7.5,120
22,76777_2,8/26/16,7678067,428103,279,full,459.6,2.88,65,30,0.1,0,5,30,3,0,45,0.1,0.1,50,0.1,0,0,1,20,meander active overbank deposit,floodplain step,mounds (logs and rootwads),0,gravelly,<-40,>125,7.5,90
24,76777_3,8/26/16,7678358,428339,277,full,393,1.915,45,35,0.1,0,3,15,20,0,45,0.1,1,45,3,0.1,0,1,300,meander inactive channel deposit,floodplain step,mounds (logs and rootwads),3,gravelly,<-30,>125,6.9,60
23,76784_1,8/23/16,7678354,428335,278,dominants,416,2.09,45,55,2,0,2,20,15,0,30,0,2,50,20,0.1,0,0,-999,meander inactive channel deposit,floodplain step,soil-covered rocks,0,gravelly,<-40,>125,7.6,90
